id_jugador;nombre_jugador;id_equipo;estado;score_temporada;score_reciente;evolucion
402580;Marco Esteban;718;Pocos minutos;3.78;0.0;0.0
51530;Federico Viñas;718;Rendimiento Alto;4.92;5.45;0.53
1695;Santi Cazorla;718;Pocos minutos;4.59;0.0;0.0
19613;Ovie Ejaria;718;Pocos minutos;4.25;0.0;0.0
128398;Oihan Sancet;531;Estable;4.45;4.4;-0.05
182617;Beñat Prados;531;Pocos minutos;4.47;0.0;0.0
332308;Unai Gómez;531;Estable;4.27;4.53;0.26
46973;Josan;797;Estable;4.55;4.33;-0.22
521;Robert Lewandowski;529;Rendimiento Bajo;4.63;4.04;-0.6
286796;Damián Rodríguez;538;Pocos minutos;4.25;0.0;0.0
30924;Marash Kumbulla;798;Estable;4.25;4.25;-0.0
47527;Stole Dimitrievski;532;Estable;4.62;4.62;0.0
359603;Luca Koleosho;540;Pocos minutos;4.42;0.0;0.0
287654;Jon Gorrotxategi;548;Estable;4.78;4.86;0.09
268960;Arsen Zakharyan;548;Estable;4.14;4.43;0.29
2285;Antonio Rüdiger;541;Estable;4.61;4.6;-0.01
47429;David Costas;718;Estable;4.7;4.73;0.03
2922;Leander Dendoncker;718;Pocos minutos;4.66;0.0;0.0
2762;Josip Brekalo;718;Rendimiento Alto;4.41;4.76;0.36
885;Eric Bailly;718;Pocos minutos;4.78;0.0;0.0
30927;Santiago Colombatto;718;Estable;4.8;4.75;-0.05
184194;Álex Forés;718;Pocos minutos;3.92;0.0;0.0
48471;Ruben Vargas;536;Estable;4.93;4.96;0.03
46795;Domingos Duarte;546;Estable;4.47;4.58;0.11
47472;Borja Mayoral;546;Rendimiento Bajo;4.46;4.07;-0.39
336671;Renato Veiga;533;Estable;4.47;4.59;0.12
297304;Dawda Camara;547;Pocos minutos;4.12;0.0;0.0
47547;Álex Moreno;547;Estable;4.46;4.72;0.26
20;Axel Witsel;547;Estable;4.75;4.78;0.03
2617;Cristhian Stuani;547;Rendimiento Alto;4.51;4.89;0.37
300885;Nelson Deossa;543;Estable;4.9;5.03;0.13
47302;Diego Llorente;543;Pocos minutos;5.03;0.0;0.0
47341;Marc Roca;543;Estable;4.61;4.86;0.25
351587;Tani Oluwaseyi;533;Pocos minutos;4.32;0.0;0.0
162473;Arnau Tenas;533;Pocos minutos;3.64;0.0;0.0
2741;Mathew Ryan;539;Estable;4.88;5.08;0.21
182603;Jon Ander Olasagasti;539;Pocos minutos;4.47;0.0;0.0
282054;Clemens Riedel;540;Pocos minutos;4.94;0.0;0.0
48555;Charles Pickel;540;Pocos minutos;4.19;0.0;0.0
288800;Iker Benito;727;Pocos minutos;4.82;0.0;0.0
11421;Gabriel Suazo;536;Estable;4.91;4.91;-0.0
119213;Alfon González;536;Pocos minutos;4.58;0.0;0.0
557;Odysseas Vlachodimos;536;Estable;4.6;4.65;0.05
341453;Oso;536;Estable;4.47;4.47;0.0
181701;Gerard Martín;529;Estable;4.85;4.62;-0.22
851;Wojciech Szczęsny;529;Pocos minutos;4.54;0.0;0.0
190485;Samú Costa;798;Estable;5.04;5.25;0.2
491248;Jan Virgili;798;Rendimiento Bajo;4.81;4.28;-0.53
41970;David Carmo;718;Estable;4.83;4.63;-0.19
